Source,Target,Weight
ALLISER_THORNE,GRENN,20.0
ARYA,CATELYN,22.0
ARYA,GENDRY,200.0
ARYA,HOUND,314.0
ARYA,JORY_CASSEL,7.0
ARYA,STABLE_BOY,7.0
ARYA,VARYS,14.0
BRAN,ROBERT,7.0
BRONN,CATELYN,7.0
GREATJON_UMBER,RODRIK,7.0
HUGH_OF_THE_VALE,JORY_CASSEL,7.0
JON,RAST,7.0
JON,THEON,48.0
JON_ARRYN,ROBERT,9.0
JORY_CASSEL,LITTLEFINGER,7.0
LYSA,VARDIS_EGAN,7.0
MAESTER_AEMON,TYRION,7.0
MAESTER_LUWIN,TYRION,7.0
ROBERT,TYRION,10.0
ROBERT,VISERYS,7.0
ARYA,ROBB,18.0
BARRISTAN,VARYS,8.0
BRONN,RODRIK,6.0
DROGO,ILLYRIO,6.0
DROGO,QOTHO,6.0
DROGO,RHAEGO,9.0
GRENN,RAST,23.0
GRENN,TYRION,6.0
HOUND,ROBERT,6.0
HUGH_OF_THE_VALE,NED,6.0
JAIME,JOFFREY,47.0
JEOR,OTHELL_YARWYCK,6.0
JEOR,OTHOR,6.0
LITTLEFINGER,MOUNTAIN,6.0
LITTLEFINGER,TYRION,70.0
MAESTER_AEMON,PYP,8.0
MAESTER_AEMON,SAM,61.0
NED,SYRIO_FOREL,6.0
NED,TOMARD,6.0
OTHELL_YARWYCK,SAM,6.0
PYP,TYRION,6.0
RAST,SAM,19.0
SHAGGA,TYWIN,6.0
ARYA,BAELOR,5.0
ARYA,BRAN,50.0
ARYA,HOT_PIE,99.0
ARYA,LITTLEFINGER,37.0
ARYA,MERYN_TRANT,25.0
ARYA,MYCAH,7.0
BARRISTAN,JOFFREY,7.0
BENJEN,ROBB,5.0
BENJEN,YOREN,5.0
BRAN,RODRIK,25.0
BRONN,LYSA,5.0
BRONN,SHAGGA,5.0
BRONN,TYWIN,12.0
CATELYN,MORD,5.0
DAENERYS,ROBERT,13.0
DOREAH,IRRI,9.0
DROGO,RAKHARO,5.0
GARED,ROYCE,5.0
GENDRY,TOBHO_MOTT,5.0
HOUND,LITTLEFINGER,5.0
HOUND,MOUNTAIN,39.0
JAIME,KEVAN,17.0
JAIME,LITTLEFINGER,9.0
JANOS,VARYS,8.0
JOFFREY,SEPTA_MORDANE,5.0
JON,OTHELL_YARWYCK,14.0
