Source,Target,Weight
DAENERYS,JON,194
DAENERYS,TYRION,122
JAIME,TYRION,122
BRIENNE,JAIME,121
JON,TYRION,116
TYRION,VARYS,114
SANSA,TYRION,86
DAVOS,TYRION,72
DAENERYS,SANSA,71
ARYA,GENDRY,70
ARYA,JON,70
JON,SANSA,70
JON,SAM,66
ARYA,HOUND,63
BRAN,TYRION,55
ARYA,SANSA,52
DAENERYS,JORAH,51
GREY_WORM,JON,50
JON,TORMUND,50
JON,VARYS,49
DAVOS,JON,47
BRIENNE,TYRION,46
DAENERYS,VARYS,44
CERSEI,QYBURN,41
BRIENNE,TORMUND,40
BRONN,TYRION,40
CERSEI,EURON,40
GREY_WORM,TYRION,40
JAIME,TORMUND,38
DAENERYS,GREY_WORM,37
CERSEI,DAENERYS,36
BERIC,HOUND,34
BRIENNE,PODRICK,31
CERSEI,JAIME,31
BRAN,JON,30
SAM,TORMUND,30
BRAN,SANSA,28
JAIME,PODRICK,28
BRAN,THEON,27
DAVOS,GREY_WORM,27
GREY_WORM,MISSANDEI,27
HOUND,MOUNTAIN,27
CERSEI,TYRION,26
DAENERYS,SAM,26
GENDRY,HOUND,26
JORAH,SAM,26
BERIC,TORMUND,24
BRAN,JAIME,24
BRIENNE,SANSA,24
CERSEI,MOUNTAIN,24
SAM,TYRION,24
BRAN,SAM,23
BRIENNE,GREY_WORM,23
BRIENNE,SAM,23
DAENERYS,JAIME,23
DAENERYS,MISSANDEI,23
GREY_WORM,SAM,23
GREY_WORM,TORMUND,23
ARYA,DAVOS,22
ARYA,NORA,22
HOUND,TORMUND,22
NORA,VICKY,22
SANSA,VARYS,22
ARYA,BRAN,21
ARYA,DAENERYS,21
DAENERYS,GENDRY,21
MISSANDEI,TYRION,21
BRONN,QYBURN,20
PODRICK,TORMUND,20
DAVOS,TORMUND,19
GENDRY,TORMUND,19
GREY_WORM,JAIME,19
JAIME,SAM,19
JON,NIGHT_KING,19
QYBURN,TYRION,19
TORMUND,TYRION,19
ARYA,BERIC,18
BRIENNE,DAVOS,18
GREY_WORM,SANSA,18
GREY_WORM,VARYS,18
JORAH,TORMUND,18
PODRICK,TYRION,18
DAENERYS,DAVOS,17
DAVOS,SANSA,17
EURON,JAIME,17
GENDRY,SAM,17
JORAH,LYANNA_MORMONT,17
BRAN,DAENERYS,16
DAENERYS,TORMUND,16
EDDISON_TOLLETT,SAM,16
GENDRY,GREY_WORM,16
BERIC,SAM,15
BRAN,GREY_WORM,15
BRAN,NIGHT_KING,15
MISSANDEI,VARYS,15
ARYA,VICKY,14
DAVOS,SAM,14
DAVOS,VARYS,14
HOUND,SANSA,14
JAIME,JORAH,14
JAIME,SANSA,14
MISSANDEI,SANSA,14
SANSA,YOHN_ROYCE,14
ARYA,GREY_WORM,13
ARYA,MELISANDRE,13
BERIC,JORAH,13
BRIENNE,GENDRY,13
BRIENNE,JORAH,13
BRONN,JAIME,13
EDDISON_TOLLETT,TORMUND,13
GENDRY,JAIME,13
LYANNA_MORMONT,SAM,13
BERIC,GREY_WORM,12
CRAYAH,DIRAH,12
MOUNTAIN,QYBURN,12
SAM,SANSA,12
SANSA,MAESTER_WOLKAN,12
ARYA,TYRION,11
BRAN,BRIENNE,11
BRIENNE,DAENERYS,11
BRIENNE,JON,11
CERSEI,HARRY,11
DAENERYS,THEON,11
GILLY,SAM,11
GREY_WORM,JORAH,11
JAIME,JON,11
JON,JORAH,11
JON,LYANNA_MORMONT,11
JON,MISSANDEI,11
JORAH,MELISANDRE,11
MARTHA,VARYS,11
SANSA,THEON,11
ARYA,SAM,10
BERIC,BRIENNE,10
BRONN,DAVOS,10
DAENERYS,EURON,10
DAENERYS,MAESTER_WOLKAN,10
DAENERYS,NIGHT_KING,10
DAVOS,JAIME,10
DAVOS,MELISANDRE,10
HOUND,JAIME,10
JAIME,LYANNA_MORMONT,10
JORAH,SANSA,10
JORAH,TYRION,10
SANSA,TORMUND,10
BERIC,EDDISON_TOLLETT,9
BERIC,JAIME,9
BRAN,DAVOS,9
BRIENNE,VARYS,9
CERSEI,MISSANDEI,9
DAVOS,PODRICK,9
GILLY,JON,9
GILLY,LITTLE_SAM,9
HOUND,JORAH,9
JON,LYANNA,9
JORAH,VARYS,9
TYRION,MAESTER_WOLKAN,9
TYRION,YOHN_ROYCE,9
ALYS,TYRION,8
BERIC,JON,8
BRAN,VARYS,8
BRONN,SAM,8
EDDISON_TOLLETT,JON,8
EURON,YARA,8
GENDRY,JORAH,8
GENDRY,PODRICK,8
GILLY,SANSA,8
GILLY,TYRION,8
GILLY,VARYS,8
HOUND,MELISANDRE,8
HOUND,SAM,8
NIGHT_KING,THEON,8
PODRICK,SAM,8
THEON,YARA,8
ARYA,TORMUND,7
ARYA,VARYS,7
BRIENNE,HOUND,7
BRIENNE,LYANNA_MORMONT,7
BRONN,CRAYAH,7
DAENERYS,HOUND,7
DAENERYS,LYANNA_MORMONT,7
GENDRY,JON,7
GREY_WORM,LYANNA_MORMONT,7
GREY_WORM,PODRICK,7
JAIME,VARYS,7
JON,NED,7
JON,RHAEGAR,7
LYANNA_MORMONT,SANSA,7
LYANNA_MORMONT,TYRION,7
ALYS,DAVOS,6
ALYS,VARYS,6
ARYA,BRIENNE,6
BERIC,GENDRY,6
BERIC,MELISANDRE,6
BRAN,JORAH,6
BRAN,MISSANDEI,6
BRAN,YOHN_ROYCE,6
BRIENNE,MAESTER_WOLKAN,6
BRIENNE,MISSANDEI,6
BRIENNE,YOHN_ROYCE,6
CERSEI,HOUND,6
DAENERYS,YOHN_ROYCE,6
DAVOS,GENDRY,6
DAVOS,GILLY,6
DAVOS,MAESTER_WOLKAN,6
DAVOS,YOHN_ROYCE,6
EURON,MOUNTAIN,6
EURON,QYBURN,6
GENDRY,TYRION,6
GREY_WORM,HOUND,6
GREY_WORM,QHONO,6
JON,MAESTER_WOLKAN,6
LITTLE_SAM,SANSA,6
LITTLE_SAM,TYRION,6
LITTLE_SAM,VARYS,6
LYANNA_MORMONT,TORMUND,6
QHONO,SAM,6
SAM,VARYS,6
SAM,YOHN_ROYCE,6
TORMUND,VARYS,6
ALYS,BRAN,5
ALYS,DAENERYS,5
ALYS,GREY_WORM,5
ALYS,JON,5
ALYS,JORAH,5
ALYS,LYANNA_MORMONT,5
ALYS,SANSA,5
ARYA,CERSEI,5
ARYA,JORAH,5
ARYA,MISSANDEI,5
BRAN,LYANNA_MORMONT,5
BRIENNE,BRONN,5
BRONN,DIRAH,5
BRONN,MAREI,5
CERSEI,GREY_WORM,5
EDMURE,SANSA,5
GENDRY,ROBERT,5
GENDRY,SANSA,5
GILLY,TORMUND,5
GREY_WORM,MELISANDRE,5
GREY_WORM,YOHN_ROYCE,5
JOFFREY,TYRION,5
LYANNA_MORMONT,VARYS,5
MELISANDRE,TORMUND,5
MISSANDEI,MOUNTAIN,5
SAM,MAESTER_WOLKAN,5
THEON,TYRION,5
TORMUND,WILLA,5
TYRION,TYWIN,5
VARYS,MAESTER_WOLKAN,5
ALYS,BRIENNE,4
ALYS,JAIME,4
ALYS,SAM,4
ALYS,THEON,4
ALYS,YOHN_ROYCE,4
ARYA,LYANNA_MORMONT,4
ARYA,MAESTER_WOLKAN,4
ARYA,OWEN,4
ARYA,QHONO,4
ARYA,THEON,4
ARYA,YOHN_ROYCE,4
BERIC,DAENERYS,4
BERIC,DAVOS,4
BERIC,LYANNA_MORMONT,4
BERIC,SANSA,4
BRAN,GENDRY,4
BRAN,MAESTER_WOLKAN,4
BRAN,QHONO,4
BRAN,TORMUND,4
BRIENNE,QHONO,4
BRONN,CERSEI,4
DAENERYS,MOUNTAIN,4
DAENERYS,PODRICK,4
DAENERYS,QHONO,4
DAENERYS,QYBURN,4
DAENERYS,VISERYS,4
DAVOS,JORAH,4
DAVOS,LYANNA_MORMONT,4
DAVOS,MISSANDEI,4
DAVOS,QHONO,4
DAVOS,TEELA,4
DORNISH_PRINCE,YARA,4
EDDISON_TOLLETT,GREY_WORM,4
EDDISON_TOLLETT,JORAH,4
EDMURE,YOHN_ROYCE,4
EURON,HARRY,4
EURON,MISSANDEI,4
EURON,TYRION,4
GILLY,MISSANDEI,4
GREY_WORM,MAESTER_WOLKAN,4
HOUND,JON,4
HOUND,NORA,4
HOUND,PODRICK,4
HOUND,QYBURN,4
JAIME,QHONO,4
JAIME,YOHN_ROYCE,4
JON,QHONO,4
JON,THEON,4
JON,YOHN_ROYCE,4
JORAH,MISSANDEI,4
JORAH,PODRICK,4
JORAH,QHONO,4
JORAH,YOHN_ROYCE,4
LYANNA,NED,4
LYANNA,RHAEGAR,4
LYANNA_MORMONT,QHONO,4
LYANNA_MORMONT,THEON,4
LYANNA_MORMONT,YOHN_ROYCE,4
MAESTER_WOLKAN,YOHN_ROYCE,4
MISSANDEI,SAM,4
QHONO,SANSA,4
QHONO,TORMUND,4
QHONO,TYRION,4
QHONO,VARYS,4
ROBIN,MAESTER_WOLKAN,4
SAM,THEON,4
SANSA,YARA,4
VARYS,YOHN_ROYCE,4
ALYS,ARYA,3
ALYS,MAESTER_WOLKAN,3
ALYS,TORMUND,3
ARYA,JAIME,3
ARYA,NIGHT_KING,3
ARYA,YARA,3
BERIC,BRAN,3
BERIC,NED_UMBER,3
BERIC,THEON,3
BERIC,TYRION,3
BERIC,VARYS,3
BRAN,BRONN,3
BRAN,PODRICK,3
BRIENNE,EDDISON_TOLLETT,3
CERSEI,JON,3
CERSEI,SANSA,3
CERSEI,TYWIN,3
CERSEI,VARYS,3
CRAYAH,MAREI,3
CRAYAH,QYBURN,3
DAENERYS,RANDYLL,3
DAENERYS,YARA,3
DAVOS,HOUND,3
DAVOS,THEON,3
DIRAH,MAREI,3
DORNISH_PRINCE,ROBIN,3
EDDISON_TOLLETT,GENDRY,3
EDDISON_TOLLETT,HOUND,3
EDDISON_TOLLETT,JAIME,3
EDMURE,MAESTER_WOLKAN,3
EDMURE,RIVERLANDS_LORD,3
EDMURE,ROBIN,3
EDMURE,SAM,3
EDMURE,TYRION,3
GENDRY,VALE_LORD,3
GENDRY,YOHN_ROYCE,3
GREY_WORM,MOUNTAIN,3
GREY_WORM,THEON,3
GREY_WORM,UNSULLIED_CAPTAIN,3
GREY_WORM,YARA,3
HOUND,SARRA,3
HOUND,VICKY,3
IRONBORN_LORD,VALE_LORD,3
IRONBORN_LORD,YARA,3
JAIME,MISSANDEI,3
JON,ROBERT,3
JORAH,THEON,3
LYANNA,VARYS,3
LYANNA_MORMONT,MISSANDEI,3
MARWYN,SAM,3
MISSANDEI,QYBURN,3
MOUNTAIN,TYRION,3
NED,RHAEGAR,3
NED,SANSA,3
NED_UMBER,SANSA,3
RANDYLL,SAM,3
RHAEGAR,VARYS,3
RIVERLANDS_LORD,YOHN_ROYCE,3
ROBIN,SAM,3
ROBIN,SANSA,3
ROBIN,YOHN_ROYCE,3
THEON,TORMUND,3
THEON,VARYS,3
AEGON,DAENERYS,2
AERYS,DAENERYS,2
AERYS,JON,2
ALANNA,OWEN,2
ALTON,JAIME,2
ALYS,BERIC,2
ALYS,GENDRY,2
ALYS,MISSANDEI,2
ALYS,QHONO,2
ARYA,DORNISH_PRINCE,2
ARYA,EDDISON_TOLLETT,2
ARYA,EDMURE,2
ARYA,IRONBORN_LORD,2
ARYA,MOUNTAIN,2
ARYA,PODRICK,2
