Source,Target,Weight
ARYA,JAQEN,148
JORAH,TYRION,141
BRONN,JAIME,121
TYRION,VARYS,110
DAENERYS,TYRION,98
CERSEI,HIGH_SPARROW,96
BRIENNE,PODRICK,90
JON,STANNIS,90
LITTLEFINGER,SANSA,89
JON,SAM,85
GILLY,SAM,83
DAARIO,DAENERYS,81
MARGAERY,TOMMEN,79
SANSA,THEON,77
DAENERYS,HIZDAHR,69
DAVOS,STANNIS,68
JON,TORMUND,63
CERSEI,TOMMEN,62
JAIME,MYRCELLA,58
MYRANDA,SANSA,58
RAMSAY,THEON,58
MELISANDRE,STANNIS,52
RAMSAY,ROOSE_BOLTON,51
RAMSAY,SANSA,51
CERSEI,LITTLEFINGER,50
ARYA,WAIF,48
SHIREEN,STANNIS,47
CERSEI,MARGAERY,46
CERSEI,QYBURN,41
JON,OLLY,41
CERSEI,JAIME,40
DAENERYS,JORAH,40
JON,MELISANDRE,39
BARRISTAN,DAENERYS,38
DAVOS,JON,35
DAVOS,SHIREEN,35
BRONN,TYENE,34
DORAN,ELLARIA,33
JON,MANCE,33
ALLISER_THORNE,JON,32
JAQEN,WAIF,32
HIGH_SPARROW,OLENNA,30
LORAS,MARGAERY,30
OLLY,SAM,30
GREY_WORM,MISSANDEI,29
CERSEI,MACE,28
DAENERYS,MOSSADOR,28
JON,KARSI,28
MYRANDA,RAMSAY,28
AREO,DORAN,27
BRIENNE,LITTLEFINGER,27
DAARIO,TYRION,27
CERSEI,OLENNA,26
DAARIO,HIZDAHR,24
DORAN,JAIME,24
MYRCELLA,TRYSTANE,24
SAM,STANNIS,24
DAENERYS,MISSANDEI,22
LITTLEFINGER,ROOSE_BOLTON,22
CERSEI,KEVAN,21
HIGH_SPARROW,LORAS,21
CERSEI,MAGGY,20
DAARIO,GREY_WORM,20
JANOS,JON,20
SELYSE,SHIREEN,20
AREO,BRONN,19
ELLARIA,JAIME,19
KARSI,TORMUND,19
TYCHO,MACE,19
AREO,JAIME,18
CERSEI,LANCEL,18
CERSEI,PYCELLE,18
GILLY,SHIREEN,18
JON,MAESTER_AEMON,18
SELYSE,STANNIS,18
BLACK_HAIRED_PROSTITUTE,TYRION,17
DAARIO,JORAH,17
HIGH_SPARROW,MARGAERY,17
MAESTER_AEMON,SAM,17
MALKO,TYRION,17
ARYA,MERYN_TRANT,16
DAARIO,MISSANDEI,16
JAIME,TRYSTANE,16
JON,LOBODA,16
LITTLEFINGER,OLENNA,16
MISSANDEI,TYRION,16
ROOSE_BOLTON,SANSA,16
AREO,ELLARIA,15
AREO,MYRCELLA,15
BRIENNE,SANSA,15
CERSEI,LORAS,15
LORAS,OLYVAR,15
ALLISER_THORNE,SAM,14
BRONN,LOLLYS,14
CERSEI,SEPTA_UNELLA,14
DAENERYS,GREY_WORM,14
LANCEL,LITTLEFINGER,14
LITTLEFINGER,RAMSAY,14
MANCE,STANNIS,14
MARGAERY,OLENNA,14
NYMERIA,TYENE,14
ARYA,THIN_MAN,13
CERSEI,HIGH_SEPTON,13
CERSEI,MERYN_TRANT,13
DAVOS,MELISANDRE,13
HIZDAHR,TYRION,13
MELISANDRE,SELYSE,13
MYRANDA,THEON,13
BRONN,DORNISH_RIDER,12
CERSEI,MELARA,12
CERSEI,TYWIN,12
EDDISON_TOLLETT,JON,12
JORAH,MALKO,12
LORD_OF_BONES,TORMUND,12
BRAND,DERRYK,11
ELLARIA,OBARA,11
ELLARIA,TYENE,11
HIGH_SEPTON,OLYVAR,11
JAQEN,THIN_MAN,11
DAVOS,OLLY,10
ELLARIA,MYRCELLA,10
OLLY,STANNIS,10
PYCELLE,QYBURN,10
BRIENNE,STANNIS,9
BRONN,MYRCELLA,9
DAENERYS,VARYS,9
DAVOS,SELYSE,9
DORAN,MYRCELLA,9
DORAN,TRYSTANE,9
HIGH_SPARROW,OLYVAR,9
JORAH,MISSANDEI,9
LITTLEFINGER,ROYCE,9
LORAS,OLENNA,9
LORAS,TOMMEN,9
MACE,QYBURN,9
MELISANDRE,SHIREEN,9
RAMSAY,WALDA,9
ALLISER_THORNE,OLLY,8
AREO,TRYSTANE,8
BRIENNE,RENLY,8
GILLY,LITTLE_SAM,8
HIGH_SPARROW,TOMMEN,8
HIZDAHR,MISSANDEI,8
JANOS,SAM,8
KARSI,LOBODA,8
LANCEL,LORAS,8
ROOSE_BOLTON,THEON,8
SANSA,WALDA,8
TYRION,TYWIN,8
AREO,OBARA,7
BARRISTAN,DAARIO,7
BRONN,OBARA,7
CATELYN,SANSA,7
CERSEI,MYRCELLA,7
DERRYK,SAM,7
GILLY,OLLY,7
GREY_WORM,JORAH,7
HIZDAHR,MOSSADOR,7
MACE,MERYN_TRANT,7
MACE,PYCELLE,7
MARGAERY,OLYVAR,7
OWNER,TYRION,7
PODRICK,SANSA,7
RAMSAY,STANNIS,7
ALLISER_THORNE,JANOS,6
BRAND,SAM,6
BRONN,DORAN,6
BRONN,TRYSTANE,6
CERSEI,TYRION,6
DAARIO,MOSSADOR,6
EDDISON_TOLLETT,SAM,6
ELLARIA,OBERYN,6
GILLY,JON,6
GILLY,SELYSE,6
HIGH_SEPTON,LANCEL,6
HIGH_SEPTON,QYBURN,6
JAIME,TYWIN,6
JON,SELYSE,6
JORAH,VARYS,6
LITTLE_SAM,SAM,6
MADAME,MERYN_TRANT,6
MANCE,TORMUND,6
MYRANDA,WALDA,6
MYRCELLA,OBARA,6
NYMERIA,OBARA,6
OBARA,TYENE,6
ROOSE_BOLTON,WALDA,6
ALLISER_THORNE,STANNIS,5
BRAN,RICKON,5
BRAN,THEON,5
BRIENNE,CATELYN,5
BRONN,NYMERIA,5
