Source,Target,Weight
DAENERYS,TYRION,179
DAENERYS,JON,178
CERSEI,JAIME,172
ARYA,SANSA,156
JON,TYRION,107
LITTLEFINGER,SANSA,107
DAVOS,JON,92
BRONN,JAIME,85
JON,SANSA,79
MARWYN,SAM,75
CERSEI,TYRION,74
DAENERYS,VARYS,65
BERIC,HOUND,63
JON,JORAH,59
HOUND,THOROS,57
HOUND,TORMUND,57
DAVOS,GENDRY,55
JON,TORMUND,50
DAVOS,TYRION,46
TYRION,VARYS,45
BRAN,SANSA,44
CERSEI,QYBURN,44
BERIC,JON,41
CERSEI,EURON,38
CERSEI,TYCHO,37
JAIME,OLENNA,37
JON,MISSANDEI,36
DAENERYS,MISSANDEI,35
JON,THEON,35
DAENERYS,JORAH,34
JAIME,TYRION,34
ARYA,HOT_PIE,33
CERSEI,DAENERYS,33
CERSEI,MOUNTAIN,33
DAENERYS,DAVOS,33
JAIME,RANDYLL,33
DAVOS,MISSANDEI,31
GREY_WORM,MISSANDEI,31
MISSANDEI,TYRION,31
BERIC,THOROS,30
GENDRY,JON,30
BRIENNE,SANSA,29
BERIC,TORMUND,27
HOUND,JON,27
JORAH,SAM,27
EURON,JAIME,26
HOUND,JORAH,26
BRIENNE,PODRICK,25
DICKON,RANDYLL,25
ELLARIA,YARA,25
JAIME,QYBURN,25
ARYA,LITTLEFINGER,24
CERSEI,JON,24
DICKON,JAIME,24
HARRAG,THEON,24
JORAH,TORMUND,24
THEON,YARA,24
JAIME,MOUNTAIN,23
SANSA,YOHN_ROYCE,23
ARYA,BRAN,21
BRAN,MEERA,21
BRAN,SAM,21
CERSEI,ELLARIA,21
ELLARIA,TYENE,21
JON,NED,21
MELISANDRE,VARYS,21
MISSANDEI,VARYS,21
DAENERYS,JAIME,20
GILLY,SAM,20
JON,LITTLEFINGER,20
ARYA,BRIENNE,19
BRAN,LITTLEFINGER,19
BRONN,TYRION,19
EURON,YARA,19
JORAH,THOROS,19
BERIC,JORAH,18
BRIENNE,HOUND,18
EURON,THEON,18
GENDRY,HOUND,18
GREY_WORM,TYRION,18
JON,VARYS,18
JON,NIGHT_KING,17
JORAH,TYRION,17
SANSA,MAESTER_WOLKAN,17
DAENERYS,OLENNA,16
JORAH,MARWYN,16
CERSEI,TYENE,15
CERSEI,TYWIN,15
GENDRY,TORMUND,15
BRIENNE,LITTLEFINGER,14
DAENERYS,RANDYLL,14
DAVOS,JORAH,14
GENDRY,THOROS,14
GREY_WORM,VARYS,14
MOUNTAIN,QYBURN,14
NED,SANSA,14
DAENERYS,GREY_WORM,13
DAENERYS,MELISANDRE,13
